Trials, Throughput , Responsetime , CPU_REQ , MEM_REQ , CPU_LIM, MEM_LIM 
1,288.15,901.167,1.2325149856388,838.689601782385,1.2325149856388,838.689601782385
2,288.75,852.833,2.09627803746029,665.86418347825,2.09627803746029,665.86418347825
3,294.067,819.333,1.51478869800573,748.977853350645,1.51478869800573,748.977853350645
4,294.7,809.167,2.54321864062055,594.021792952884,2.54321864062055,594.021792952884
5,270.217,868,2.83448953984315,590.102786883857,2.83448953984315,590.102786883857
6,286.233,899.667,2.25631924314788,815.486859923025,2.25631924314788,815.486859923025
7,282.167,821.667,1.82082565322615,511.229686601509,1.82082565322615,511.229686601509
8,285.45,893.667,2.46538334383937,332.318794960526,2.46538334383937,332.318794960526
9,283.817,839.667,2.64743814779323,508.577326761373,2.64743814779323,508.577326761373
10,242.25,1023.83,1.62877297849386,375.096558651262,1.62877297849386,375.096558651262
11,276.1,907.5,2.60645611684815,431.991129615273,2.60645611684815,431.991129615273
12,280.917,883,2.86128055870319,965.39719078603,2.86128055870319,965.39719078603
13,286.85,879.667,1.03977241194267,840.948521239416,1.03977241194267,840.948521239416
14,266.533,931.167,1.40879446136023,776.113829709141,1.40879446136023,776.113829709141
15,257.733,937.167,1.28219716981779,697.150551576488,1.28219716981779,697.150551576488
16,275.683,908.333,1.83510187797333,931.543138282843,1.83510187797333,931.543138282843
17,268.35,947.333,1.51831920485022,648.527606140199,1.51831920485022,648.527606140199
18,276.217,911.5,1.00170937649507,738.313958903052,1.00170937649507,738.313958903052
19,259.417,980.667,2.20690128950857,574.547156145784,2.20690128950857,574.547156145784
20,280.3,853.167,1.17311289820661,862.878072262339,1.17311289820661,862.878072262339
21,273.533,882.833,1.76171719910658,588.686188678156,1.76171719910658,588.686188678156
22,297.1,825.5,2.05113333134822,894.541380439778,2.05113333134822,894.541380439778
23,226.383,767.5,1.87746181137427,481.63468800927,1.87746181137427,481.63468800927
24,275.817,920,1.65302594146603,462.611046355709,1.65302594146603,462.611046355709
25,268.55,927.667,2.35749212983721,627.256597434148,2.35749212983721,627.256597434148
26,283.567,876.667,1.98215134698251,531.954438847944,1.98215134698251,531.954438847944
27,245.6,1054.67,1.41686437798755,722.020232952609,1.41686437798755,722.020232952609
28,242.25,946.333,1.91213732744084,402.311421579988,1.91213732744084,402.311421579988
29,276.117,910.5,1.65644194389085,772.22558414404,1.65644194389085,772.22558414404
30,295.3,821.833,1.50369206705316,469.246725888601,1.50369206705316,469.246725888601
31,283.667,881.833,2.13771099848739,659.727834960143,2.13771099848739,659.727834960143
32,272.15,864.5,1.19642005321119,538.404435824331,1.19642005321119,538.404435824331
33,285.783,871,1.801937920914,474.93387797182,1.801937920914,474.93387797182
34,278.917,934,1.92328994058076,619.636835336576,1.92328994058076,619.636835336576
35,294.6,861.667,1.74678640244254,556.643640151329,1.74678640244254,556.643640151329
36,272.733,920.167,2.02214186030521,340.982810639401,2.02214186030521,340.982810639401
37,265.717,902,1.56232756774865,491.69621849131,1.56232756774865,491.69621849131
38,280.067,898.667,2.30435305950263,424.920093566321,2.30435305950263,424.920093566321
39,308.267,773.833,2.75411749046706,608.358397104395,2.75411749046706,608.358397104395
40,263.85,1019.17,2.65355261850865,626.699924795431,2.65355261850865,626.699924795431
41,291.533,815.167,2.53202924571576,690.907288578682,2.53202924571576,690.907288578682
42,300.85,834.333,2.75293867041531,681.787655083741,2.75293867041531,681.787655083741
43,309.3,775.333,2.50764627608731,769.914819764295,2.50764627608731,769.914819764295
44,297.5,818.5,2.48520693887307,788.895752116561,2.48520693887307,788.895752116561
45,287.6,892.167,2.53177929854444,718.343541352959,2.53177929854444,718.343541352959
46,284,897.333,2.74325445494048,690.413132808207,2.74325445494048,690.413132808207
47,296.017,822,2.38606218758556,610.205020670932,2.38606218758556,610.205020670932
48,329.65,713.667,2.82118041211281,820.35704271622,2.82118041211281,820.35704271622
49,292.383,849.167,2.8897958284395,840.107085522799,2.8897958284395,840.107085522799
50,279.3,909,2.752605655285,795.868310923699,2.752605655285,795.868310923699
51,288.4,845.667,2.6334910219405,750.954847957205,2.6334910219405,750.954847957205
52,278.183,910,2.80614096324259,920.787129677016,2.80614096324259,920.787129677016
53,274.1,901.333,2.45241992270183,822.069439120977,2.45241992270183,822.069439120977
54,287.2,897.667,2.54686465538942,649.339605785479,2.54686465538942,649.339605785479
55,262.767,944.667,2.68238662094099,758.03952210305,2.68238662094099,758.03952210305
56,263.4,968.333,2.89559973007366,712.774850239341,2.89559973007366,712.774850239341
57,277.8,890.667,2.21046592836886,868.701284709233,2.21046592836886,868.701284709233
58,261.7,989,2.82318774056337,573.027215216961,2.82318774056337,573.027215216961
59,238.05,1075.83,2.56392644164286,811.673626634191,2.56392644164286,811.673626634191
60,266.317,953.833,2.42807953434599,1006.61227377127,2.42807953434599,1006.61227377127
61,308.517,740.333,2.58574672462255,518.041742954108,2.58574672462255,518.041742954108
62,245.667,1004.5,2.12581792134354,516.941046268777,2.12581792134354,516.941046268777
63,266.367,905.5,2.71257148975104,596.590191521487,2.71257148975104,596.590191521487
64,181.417,907,2.59189817123474,553.891088671484,2.59189817123474,553.891088671484
65,246.35,1025.17,2.32459126917363,442.991575563234,2.32459126917363,442.991575563234
66,250.25,954.667,2.50672409091621,498.473426705553,2.50672409091621,498.473426705553
67,235.883,1006,2.79459481407521,663.310512067329,2.79459481407521,663.310512067329
68,241.583,1063.67,2.39680382313365,525.984097713259,2.39680382313365,525.984097713259
69,233.817,1067.33,2.6045964155087,576.563354802178,2.6045964155087,576.563354802178
70,258.85,944.167,2.65885403834709,636.397067895383,2.65885403834709,636.397067895383
71,236.5,1049.17,2.85318463596348,609.087038630857,2.85318463596348,609.087038630857
72,233.417,1102.67,1.84776130082288,733.313286471216,1.84776130082288,733.313286471216
73,252.183,1011.83,2.47152809973964,782.768756085234,2.47152809973964,782.768756085234
74,241.133,1007,2.48280879264623,875.169551814093,2.48280879264623,875.169551814093
75,236.567,977.667,2.2998261727944,801.563049860249,2.2998261727944,801.563049860249
76,243.5,988.833,2.68535749513479,835.188720988744,2.68535749513479,835.188720988744
77,229.167,1082,2.539136774772,706.347585984552,2.539136774772,706.347585984552
78,222.8,1100.17,2.24393913482242,549.36077351885,2.24393913482242,549.36077351885
79,233.267,1063.17,2.60499984584686,481.888009071557,2.60499984584686,481.888009071557
80,234.783,1024,2.41521666909787,774.751925921448,2.41521666909787,774.751925921448
81,226.567,1130.17,2.75634038314287,680.75531388066,2.75634038314287,680.75531388066
82,238.017,1035.67,2.71077740092586,458.099428337729,2.71077740092586,458.099428337729
83,191.6,916.5,1.34366131551117,746.703939259219,1.34366131551117,746.703939259219
84,232.617,1114.83,1.16687706272895,730.656016100278,1.16687706272895,730.656016100278
85,241.617,1062.83,1.61424623817544,767.959301964801,1.61424623817544,767.959301964801
86,230.283,1035.5,1.7119660493981,389.157550035163,1.7119660493981,389.157550035163
87,228.317,1069.5,2.50755702887756,797.900097050911,2.50755702887756,797.900097050911
88,253.083,989.167,2.35701090580001,693.128933010046,2.35701090580001,693.128933010046
89,210.15,833.333,1.49684686985105,856.917349081585,1.49684686985105,856.917349081585
90,243.717,1038.5,2.62928557891202,668.218705483402,2.62928557891202,668.218705483402
91,231.967,1056.67,2.57297561513798,822.835327623406,2.57297561513798,822.835327623406
92,238.25,1005.33,2.79130365853173,786.497988532409,2.79130365853173,786.497988532409
93,237.383,1018.67,1.93716408627223,505.854626141785,1.93716408627223,505.854626141785
94,215.567,1233.17,1.87445760149152,422.637942291935,1.87445760149152,422.637942291935
95,235.2,1067,1.99099794280587,534.062271820777,1.99099794280587,534.062271820777
96,244.15,1026.83,2.05688229283553,590.831793169867,2.05688229283553,590.831793169867
97,227.533,1131.67,1.44317068495467,643.781895947721,1.44317068495467,643.781895947721
98,212.2,1153.67,1.8827652168844,455.490707256319,1.8827652168844,455.490707256319
99,239.05,1028.67,1.68499287800863,569.529804389607,1.68499287800863,569.529804389607
100,226.667,1074.83,1.77130270477037,755.745101613461,1.77130270477037,755.745101613461
